id,startingOdometer,startTimestamp,endingOdometer,endTimestamp
trip-001,12345,2024-01-15T08:30:00Z,12389,2024-01-15T17:45:00Z
trip-002,12389,2024-01-16T07:15:00Z,12434,2024-01-16T18:20:00Z
trip-003,12434,2024-01-17T09:00:00Z,12456,2024-01-17T12:30:00Z
trip-004,12456,2024-01-18T14:20:00Z,12498,2024-01-18T19:15:00Z
trip-005,12498,2024-01-19T06:45:00Z,12567,2024-01-19T16:30:00Z
trip-006,12567,2024-01-20T10:30:00Z,12589,2024-01-20T15:45:00Z
trip-007,12589,2024-01-21T08:00:00Z,12623,2024-01-21T17:30:00Z
trip-008,12623,2024-01-22T11:15:00Z,12645,2024-01-22T14:20:00Z
trip-009,12645,2024-01-23T07:30:00Z,12698,2024-01-23T18:45:00Z
trip-010,12698,2024-01-24T09:45:00Z,12734,2024-01-24T16:10:00Z
trip-011,12734,2024-01-25T08:20:00Z,12756,2024-01-25T13:30:00Z
trip-012,12756,2024-01-26T10:00:00Z,12789,2024-01-26T17:15:00Z
trip-013,12789,2024-01-27T06:30:00Z,12823,2024-01-27T15:45:00Z
trip-014,12823,2024-01-28T12:15:00Z,12845,2024-01-28T16:30:00Z
trip-015,12845,2024-01-29T08:45:00Z,12887,2024-01-29T18:20:00Z
trip-016,12887,2024-01-30T07:00:00Z,12923,2024-01-30T16:45:00Z
trip-017,12923,2024-01-31T09:30:00Z,12945,2024-01-31T14:15:00Z
trip-018,12945,2024-02-01T11:00:00Z,12978,2024-02-01T17:30:00Z
trip-019,12978,2024-02-02T08:15:00Z,13012,2024-02-02T18:00:00Z
trip-020,13012,2024-02-03T10:45:00Z,13034,2024-02-03T15:20:00Z
trip-021,13034,2024-02-04T07:30:00Z,13067,2024-02-04T16:45:00Z
trip-022,13067,2024-02-05T09:00:00Z,13089,2024-02-05T14:30:00Z
trip-023,13089,2024-02-06T08:45:00Z,13123,2024-02-06T17:15:00Z
trip-024,13123,2024-02-07T06:20:00Z,13156,2024-02-07T16:00:00Z
trip-025,13156,2024-02-08T11:30:00Z,13178,2024-02-08T15:45:00Z
trip-026,13178,2024-02-09T08:00:00Z,13201,2024-02-09T13:30:00Z
trip-027,13201,2024-02-10T09:15:00Z,13234,2024-02-10T18:30:00Z
trip-028,13234,2024-02-11T07:45:00Z,13256,2024-02-11T13:20:00Z
trip-029,13256,2024-02-12T10:30:00Z,13289,2024-02-12T17:45:00Z
trip-030,13289,2024-02-13T08:30:00Z,13323,2024-02-13T16:15:00Z
trip-031,13323,2024-02-14T06:45:00Z,13345,2024-02-14T14:00:00Z
trip-032,13345,2024-02-15T09:20:00Z,13378,2024-02-15T18:10:00Z
trip-033,13378,2024-02-16T11:00:00Z,13401,2024-02-16T16:30:00Z
trip-034,13401,2024-02-17T08:15:00Z,13434,2024-02-17T17:20:00Z
trip-035,13434,2024-02-18T07:30:00Z,13456,2024-02-18T12:45:00Z
trip-036,13456,2024-02-19T10:00:00Z,13489,2024-02-19T18:25:00Z
trip-037,13489,2024-02-20T09:45:00Z,13523,2024-02-20T16:50:00Z
trip-038,13523,2024-02-21T06:30:00Z,13545,2024-02-21T13:15:00Z
trip-039,13545,2024-02-22T08:20:00Z,13578,2024-02-22T17:35:00Z
trip-040,13578,2024-02-23T11:15:00Z,13601,2024-02-23T15:40:00Z
trip-041,13601,2024-02-24T07:00:00Z,13634,2024-02-24T16:20:00Z
trip-042,13634,2024-02-25T09:30:00Z,13656,2024-02-25T14:45:00Z
trip-043,13656,2024-02-26T08:45:00Z,13689,2024-02-26T18:00:00Z
trip-044,13689,2024-02-27T10:20:00Z,13723,2024-02-27T17:30:00Z
trip-045,13723,2024-02-28T06:15:00Z,13745,2024-02-28T13:30:00Z
trip-046,13745,2024-02-29T08:00:00Z,13778,2024-02-29T16:45:00Z
trip-047,13778,2024-03-01T09:40:00Z,13801,2024-03-01T15:20:00Z
trip-048,13801,2024-03-02T07:25:00Z,13834,2024-03-02T17:10:00Z
trip-049,13834,2024-03-03T11:05:00Z,13856,2024-03-03T16:15:00Z
trip-050,13856,2024-03-04T08:50:00Z,13889,2024-03-04T18:30:00Z
